
1,Action,"Films axés sur le rythme, l'action et les cascades.",#e63946
2,Aventure,Quêtes et voyages épics.,#ffb703
3,Animation,Films d'animation pour tous âges.,#fb8500
4,Comédie,Humour et situations légères.,#90be6d
5,Crime,Enquêtes et affaires criminelles.,#0077b6
6,Documentaire,Films basés sur des faits réels.,#6a4c93
7,Drame,Récits émotionnels.,#4cc9f0
8,Familial,Films pour toute la famille.,#f72585
9,Fantastique,Univers et éléments surnaturels.,#4361ee
10,Historique,Films situés dans le passé.,#8ecae6
11,Horreur,Films effrayants.,#7209b7
12,Musical,Films centrés sur la musique.,#3a0ca3
13,Mystère,Intrigues mystérieuses.,#436436
14,Romance,Histoires d'amour.,#ff6b6b
15,Science-Fiction,Technologie futuriste et univers alternatifs.,#2b2d42
16,Thriller,Suspense et tension.,#1b4332
17,Guerre,Films liés aux conflits militaires.,#9b2226
18,Western,Histoires du Far West.,#b97a57
19,Biopic,Films sur des personnalités réelles.,#2a9d8f
20,Sport,Films autour du sport.,#264653
21,Super-héros,Personnages dotés de pouvoirs.,#ff9f1c
22,Noir,Atmosphère sombre et dramatique.,#343a40
23,Court-métrage,Films courts.,#5e60ce
24,Expérimental,Cinéma original et non conventionnel.,#00b4d8
25,Policier,Enquêtes et procédures policières.,#0a9396
26,RomCom,Comédies romantiques.,#f07167
27,Animation Jeunesse,Animation pour enfants.,#06d6a0
